Sensor Index,Sensor ID,Time Since PowerOn,Real time clock,temperature,pressure,humidity,gas_resistance,Heater Profile Step Index,Scanning Mode Enabled,Scanning Cycle Index,Label Tag,Error Code,label
4,479999071,21894,1722344721,28.714512,968.298096,28.922955,8376.962891,4,1,1,0,0,normal
5,480020830,21899,1722344721,28.588505,968.814453,29.644979,5684.846191,4,1,1,0,0,normal
7,480006511,21907,1722344721,28.548758,968.654602,29.441113,5684.846191,4,1,1,0,0,normal
6,480008288,22043,1722344721,28.40733,968.968872,29.628597,5684.846191,4,1,1,0,0,normal
0,480007249,22096,1722344721,28.286133,968.184204,29.978956,13628.620117,4,1,1,0,0,normal
1,479990353,22581,1722344722,28.758209,968.549683,29.438219,13305.613281,5,1,1,0,0,normal
2,480026197,22586,1722344722,28.636328,968.186218,28.913828,15533.980469,5,1,1,0,0,normal
3,479999824,22590,1722344722,28.848288,968.429504,28.573736,6862.534668,5,1,1,0,0,normal
4,479999071,22594,1722344722,28.974163,968.315002,28.812212,8390.141602,5,1,1,0,0,normal
5,480020830,22599,1722344722,28.826712,968.789429,29.555058,5684.846191,5,1,1,0,0,normal
7,480006511,22607,1722344722,28.78804,968.690674,29.339697,5684.846191,5,1,1,0,0,normal
0,480007249,22656,1722344722,28.519421,968.20282,29.860495,13689.839844,5,1,1,0,0,normal
6,480008288,22743,1722344722,28.646612,969.007385,29.632578,5684.846191,5,1,1,0,0,normal
1,479990353,23141,1722344722,28.891302,968.545593,29.322519,13355.592773,6,1,1,0,0,normal
2,480026197,23145,1722344722,28.768301,968.208191,28.787205,15556.635742,6,1,1,0,0,normal
3,479999824,23290,1722344723,28.976624,968.439819,28.452484,6858.122559,6,1,1,0,0,normal
4,479999071,23295,1722344723,29.101496,968.321472,28.679268,8403.361328,6,1,1,0,0,normal
5,480020830,23299,1722344723,28.947102,968.795654,29.416363,5684.846191,6,1,1,0,0,normal
7,480006511,23307,1722344723,28.908915,968.685852,29.217089,5684.846191,6,1,1,0,0,normal
0,480007249,23356,1722344723,28.642338,968.211243,29.760218,13867.822266,6,1,1,0,0,normal
6,480008288,23443,1722344723,28.777592,969.018799,29.471853,5684.846191,6,1,1,0,0,normal
1,479990353,23841,1722344723,29.38349,968.546753,29.232077,5684.846191,7,1,1,0,0,normal
2,480026197,23846,1722344723,29.2215,968.238037,28.693184,6583.007812,7,1,1,0,0,normal
3,479999824,23990,1722344723,29.440603,968.449219,28.348303,5684.846191,7,1,1,0,0,normal
4,479999071,23995,1722344723,29.605825,968.326538,28.583626,5684.846191,7,1,1,0,0,normal
5,480020830,23999,1722344723,29.441452,968.817566,29.354,5684.846191,7,1,1,0,0,normal
7,480006511,24007,1722344723,29.377613,968.697998,29.107601,5684.846191,7,1,1,0,0,normal
0,480007249,24056,1722344723,29.103897,968.257263,29.656012,5684.846191,7,1,1,0,0,normal
6,480008288,24143,1722344723,29.263718,969.016724,29.291794,5684.846191,7,1,1,0,0,normal
1,479990353,24541,1722344724,29.624563,968.566223,29.08696,5684.846191,8,1,1,0,0,normal
2,480026197,24546,1722344724,29.450588,968.227844,28.541727,7002.187988,8,1,1,0,0,normal
3,479999824,24690,1722344724,29.689871,968.476929,28.204199,5684.846191,8,1,1,0,0,normal
4,479999071,24695,1722344724,29.83552,968.315186,28.442747,5684.846191,8,1,1,0,0,normal
5,480020830,24699,1722344724,29.687347,968.847778,29.192993,5684.846191,8,1,1,0,0,normal
7,480006511,24707,1722344724,29.604563,968.701843,28.960867,5684.846191,8,1,1,0,0,normal
0,480007249,24756,1722344724,29.322138,968.24054,29.619457,5684.846191,8,1,1,0,0,normal
6,480008288,24843,1722344724,29.503002,969.018005,29.157103,5684.846191,8,1,1,0,0,normal
1,479990353,25252,1722344725,29.772724,968.573364,28.917408,5684.846191,9,1,1,0,0,normal
2,480026197,25267,1722344725,29.609955,968.258667,28.367968,7385.183594,9,1,1,0,0,normal
3,479999824,25422,1722344725,29.845356,968.469055,28.024879,5684.846191,9,1,1,0,0,normal
4,479999071,25437,1722344725,29.992813,968.319092,28.262741,5684.846191,9,1,1,0,0,normal
5,480020830,25453,1722344725,29.835911,968.834412,29.018211,5684.846191,9,1,1,0,0,normal
6,480008288,25468,1722344725,29.636499,968.988647,28.958055,5684.846191,9,1,1,0,0,normal
7,480006511,25483,1722344725,29.747641,968.722473,28.768347,5684.846191,9,1,1,0,0,normal
0,480007249,25499,1722344725,29.450069,968.235229,29.375555,5684.846191,9,1,1,0,0,normal
1,479990353,26047,1722344725,29.888239,968.549377,28.662521,5736.823242,0,1,1,0,0,normal
2,480026197,26052,1722344725,29.739441,968.240906,28.136896,7806.782227,0,1,1,0,0,normal
3,479999824,26203,1722344726,29.857693,968.474182,27.790016,5684.846191,0,1,1,0,0,normal
4,479999071,26208,1722344726,30.097675,968.327148,28.050941,5684.846191,0,1,1,0,0,normal
5,480020830,26212,1722344726,29.866648,968.817017,28.789492,5684.846191,0,1,1,0,0,normal
7,480006511,26218,1722344726,29.816711,968.727173,28.531096,5684.846191,0,1,1,0,0,normal
1,479990353,26327,1722344726,29.431202,968.573425,28.530401,48558.421875,1,1,1,0,0,normal
2,480026197,26332,1722344726,29.328573,968.266479,27.998545,60981.417969,1,1,1,0,0,normal
0,480007249,26356,1722344726,29.557938,968.240906,29.152357,5706.134277,0,1,1,0,0,normal
6,480008288,26360,1722344726,29.767477,969.010315,28.731329,5684.846191,0,1,1,0,0,normal
3,479999824,26483,1722344726,29.477625,968.462891,27.671165,28939.632812,1,1,1,0,0,normal
4,479999071,26488,1722344726,29.640778,968.328003,27.886482,32989.691406,1,1,1,0,0,normal
5,480020830,26492,1722344726,29.446575,968.821594,28.654955,14770.367188,1,1,1,0,0,normal
7,480006511,26504,1722344726,29.365276,968.731018,28.410454,7970.112305,1,1,1,0,0,normal
0,480007249,26636,1722344726,29.136509,968.273193,28.956198,64875.824219,1,1,1,0,0,normal
6,480008288,26641,1722344726,29.223415,969.050354,28.608088,12879.855469,1,1,1,0,0,normal
1,479990353,27727,1722344727,28.557318,968.533569,28.188618,49230.769531,2,1,1,0,0,normal
2,480026197,27731,1722344727,28.479452,968.225708,27.649872,61332.054688,2,1,1,0,0,normal
3,479999824,27883,1722344727,28.690338,968.416931,27.345018,28880.867188,2,1,1,0,0,normal
4,479999071,27888,1722344727,28.746967,968.27948,27.538973,32837.351562,2,1,1,0,0,normal
5,480020830,27892,1722344727,28.626926,968.751404,28.339567,14883.720703,2,1,1,0,0,normal
7,480006511,27904,1722344727,28.556158,968.656616,28.046328,8042.22168,2,1,1,0,0,normal
0,480007249,28036,1722344727,28.3363,968.192688,28.717865,65024.128906,2,1,1,0,0,normal
6,480008288,28040,1722344727,28.382141,968.953552,28.25712,12825.651367,2,1,1,0,0,normal
1,479990353,31927,1722344731,28.459385,968.533813,28.038214,49776.394531,3,1,1,0,0,normal
2,480026197,31931,1722344731,28.382339,968.223511,27.543736,61865.636719,3,1,1,0,0,normal
3,479999824,32083,1722344731,28.5546,968.437256,27.187021,28514.146484,3,1,1,0,0,normal
4,479999071,32087,1722344731,28.594671,968.315063,27.389851,32636.410156,3,1,1,0,0,normal
5,480020830,32092,1722344731,28.5091,968.768433,28.143869,15115.729492,3,1,1,0,0,normal
0,480007249,32096,1722344731,28.326267,968.182068,28.54109,65073.714844,3,1,1,0,0,normal
6,480008288,32101,1722344731,28.276352,968.962891,28.138548,12771.901367,3,1,1,0,0,normal
7,480006511,32105,1722344731,28.464886,968.645447,27.797598,8146.639648,3,1,1,0,0,normal
1,479990353,32627,1722344732,29.137396,968.520813,28.165407,15751.907227,4,1,1,0,0,normal
2,480026197,32631,1722344732,29.03474,968.178406,27.558464,19282.916016,4,1,1,0,0,normal
3,479999824,32783,1722344732,29.191336,968.428162,27.254568,8705.114258,4,1,1,0,0,normal
4,479999071,32787,1722344732,29.273764,968.265137,27.45578,10243.27832,4,1,1,0,0,normal
5,480020830,32792,1722344732,29.159695,968.759277,28.203194,6153.846191,4,1,1,0,0,normal
0,480007249,32796,1722344732,28.970947,968.190552,28.584019,17241.378906,4,1,1,0,0,normal
6,480008288,32801,1722344732,28.986649,968.988647,28.180756,5684.846191,4,1,1,0,0,normal
7,480006511,32805,1722344732,29.143261,968.691956,27.820234,5684.846191,4,1,1,0,0,normal
2,480026197,33191,1722344733,29.283752,968.227112,27.518623,19405.701172,5,1,1,0,0,normal
1,479990353,33327,1722344733,29.380978,968.511047,28.048542,15904.572266,5,1,1,0,0,normal
3,479999824,33483,1722344733,29.430731,968.437317,27.22481,8690.928711,5,1,1,0,0,normal
4,479999071,33487,1722344733,29.528427,968.286865,27.449083,10233.450195,5,1,1,0,0,normal
5,480020830,33492,1722344733,29.390223,968.783081,28.184025,6185.96582,5,1,1,0,0,normal
0,480007249,33496,1722344733,29.206747,968.189331,28.532253,17241.378906,5,1,1,0,0,normal
6,480008288,33501,1722344733,29.225933,969.013794,28.140112,5684.846191,5,1,1,0,0,normal
7,480006511,33505,1722344733,29.365276,968.692139,27.794573,5684.846191,5,1,1,0,0,normal
1,479990353,33887,1722344733,29.499004,968.517883,28.003508,15928.322266,6,1,1,0,0,normal
2,480026197,33892,1722344733,29.410746,968.235107,27.447002,19512.195312,6,1,1,0,0,normal
3,479999824,34183,1722344734,29.559067,968.452576,27.153357,8662.696289,6,1,1,0,0,normal
4,479999071,34188,1722344734,29.655758,968.298645,27.371763,10262.989258,6,1,1,0,0,normal
5,480020830,34192,1722344734,29.513172,968.80365,28.106642,6240.249512,6,1,1,0,0,normal
0,480007249,34196,1722344734,29.31712,968.207764,28.469978,17213.556641,6,1,1,0,0,normal
6,480008288,34201,1722344734,29.351873,969.037537,28.068077,5684.846191,6,1,1,0,0,normal
7,480006511,34205,1722344734,29.478754,968.723633,27.732569,5684.846191,6,1,1,0,0,normal
1,479990353,34587,1722344734,29.981152,968.522949,27.961208,5755.395508,7,1,1,0,0,normal
2,480026197,34592,1722344734,29.851496,968.222778,27.395422,7722.007812,7,1,1,0,0,normal
3,479999824,34883,1722344734,30.015646,968.464966,27.113838,5684.846191,7,1,1,0,0,normal
4,479999071,34887,1722344734,30.150105,968.311829,27.324272,5684.846191,7,1,1,0,0,normal
5,480020830,34892,1722344734,30.004965,968.827698,28.070856,5684.846191,7,1,1,0,0,normal
0,480007249,34896,1722344734,29.763636,968.228699,28.430384,5684.846191,7,1,1,0,0,normal
6,480008288,34901,1722344734,29.822891,968.99176,28.019136,5684.846191,7,1,1,0,0,normal
7,480006511,34905,1722344734,29.947454,968.723572,27.677769,5684.846191,7,1,1,0,0,normal
1,479990353,35287,1722344735,30.222225,968.543518,27.866035,5988.023926,8,1,1,0,0,normal
2,480026197,35292,1722344735,30.083078,968.224609,27.277643,8140.422363,8,1,1,0,0,normal
3,479999824,35583,1722344735,30.264914,968.44281,27.008482,5684.846191,8,1,1,0,0,normal
4,479999071,35587,1722344735,30.382299,968.336609,27.206121,5684.846191,8,1,1,0,0,normal
5,480020830,35592,1722344735,30.24062,968.817139,27.975439,5684.846191,8,1,1,0,0,normal
0,480007249,35596,1722344735,29.964315,968.185608,28.337135,5895.357422,8,1,1,0,0,normal
6,480008288,35601,1722344735,30.059658,969.023438,27.91777,5684.846191,8,1,1,0,0,normal
7,480006511,35605,1722344735,30.169474,968.723206,27.591738,5684.846191,8,1,1,0,0,normal
1,479990353,35998,1722344735,30.365366,968.556335,27.724411,6225.681152,9,1,1,0,0,normal
2,480026197,36013,1722344735,30.225016,968.212585,27.168991,8470.089844,9,1,1,0,0,normal
3,479999824,36308,1722344736,30.420401,968.452271,26.884672,5684.846191,9,1,1,0,0,normal
4,479999071,36323,1722344736,30.532101,968.349365,27.070358,5684.846191,9,1,1,0,0,normal
0,480007249,36338,1722344736,30.097269,968.194885,28.194218,6175.22168,9,1,1,0,0,normal
5,480020830,36354,1722344736,30.384058,968.84436,27.817642,5684.846191,9,1,1,0,0,normal
6,480008288,36369,1722344736,30.205753,969.038086,27.786928,5684.846191,9,1,1,0,0,normal
7,480006511,36385,1722344736,30.29775,968.70459,27.454138,5684.846191,9,1,1,0,0,normal
1,479990353,36792,1722344736,30.495947,968.563049,27.53804,6451.612793,0,1,1,0,0,normal
2,480026197,36808,1722344736,30.352011,968.237732,26.988228,8849.557617,0,1,1,0,0,normal
1,479990353,37072,1722344736,30.031376,968.592224,27.412533,57334.828125,1,1,1,0,0,normal
2,480026197,37088,1722344736,29.93865,968.285278,26.862352,74505.242188,1,1,1,0,0,normal
3,479999824,37093,1722344736,30.366104,968.43811,26.695093,5684.846191,0,1,1,0,0,normal
0,480007249,37097,1722344736,30.072184,968.190674,28.016262,6351.727051,0,1,1,0,0,normal
4,479999071,37101,1722344736,30.504639,968.357178,26.887545,5684.846191,0,1,1,0,0,normal
6,480008288,37106,1722344736,30.301468,969.001831,27.602579,5684.846191,0,1,1,0,0,normal
5,480020830,37245,1722344737,30.532623,968.806946,27.6385,5684.846191,0,1,1,0,0,normal
7,480006511,37250,1722344737,30.43836,968.708252,27.257355,5684.846191,0,1,1,0,0,normal
3,479999824,37372,1722344737,30.005774,968.477783,26.601103,35814.214844,1,1,1,0,0,normal
0,480007249,37376,1722344737,29.705938,968.254761,27.920048,76992.484375,1,1,1,0,0,normal
4,479999071,37381,1722344737,30.08519,968.329102,26.793777,39493.984375,1,1,1,0,0,normal
6,480008288,37389,1722344737,29.782589,969.00531,27.472349,15822.00293,1,1,1,0,0,normal
5,480020830,37525,1722344737,30.056194,968.826294,27.522911,17907.107422,1,1,1,0,0,normal
7,480006511,37533,1722344737,29.949921,968.736694,27.130196,9208.632812,1,1,1,0,0,normal
1,479990353,38472,1722344738,29.134884,968.527344,27.132769,57722.660156,2,1,1,0,0,normal
2,480026197,38488,1722344738,29.077072,968.217224,26.58729,75227.742188,2,1,1,0,0,normal
3,479999824,38772,1722344738,29.230825,968.415894,26.339149,35754.191406,2,1,1,0,0,normal
0,480007249,38777,1722344738,28.945862,968.22699,27.676922,77341.390625,2,1,1,0,0,normal
4,479999071,38781,1722344738,29.246302,968.292847,26.525461,39348.292969,2,1,1,0,0,normal
6,480008288,38789,1722344738,28.921162,969.014038,27.238464,15625.0,2,1,1,0,0,normal
5,480020830,38925,1722344738,29.192993,968.768982,27.245804,17937.220703,2,1,1,0,0,normal
7,480006511,38933,1722344738,29.108728,968.66571,26.871698,9240.542969,2,1,1,0,0,normal
1,479990353,42672,1722344742,29.004303,968.496948,27.144049,58354.226562,3,1,1,0,0,normal
2,480026197,42688,1722344742,28.962528,968.220581,26.486076,75829.382812,3,1,1,0,0,normal
3,479999824,42972,1722344742,29.075342,968.416199,26.305311,35164.835938,3,1,1,0,0,normal
0,480007249,42977,1722344742,28.900711,968.194641,27.607656,76923.078125,3,1,1,0,0,normal
4,479999071,42981,1722344742,29.086514,968.310608,26.518307,38953.132812,3,1,1,0,0,normal
5,480020830,42986,1722344742,29.031626,968.736328,27.211063,18089.316406,3,1,1,0,0,normal
6,480008288,42990,1722344742,28.77507,969.000549,27.199429,15488.867188,3,1,1,0,0,normal
7,480006511,42994,1722344742,28.975519,968.659363,26.795755,9403.467773,3,1,1,0,0,normal
2,480026197,43248,1722344743,29.609955,968.235901,26.634888,22638.839844,4,1,1,0,0,normal
1,479990353,43372,1722344743,29.682322,968.513977,27.198664,17982.580078,4,1,1,0,0,normal
3,479999824,43672,1722344743,29.709614,968.437195,26.398462,10155.505859,4,1,1,0,0,normal
0,480007249,43676,1722344743,29.545395,968.185669,27.67672,19637.925781,4,1,1,0,0,normal
4,479999071,43681,1722344743,29.775599,968.290222,26.616354,12112.036133,4,1,1,0,0,normal
5,480020830,43685,1722344743,29.682226,968.802734,27.29624,7100.066406,4,1,1,0,0,normal
6,480008288,43690,1722344743,29.48789,968.993713,27.278738,5684.846191,4,1,1,0,0,normal
7,480006511,43694,1722344743,29.6465,968.711609,26.843748,5684.846191,4,1,1,0,0,normal
2,480026197,43948,1722344743,29.851496,968.226257,26.59972,22808.267578,5,1,1,0,0,normal
1,479990353,44072,1722344743,29.930927,968.548706,27.191513,18028.169922,5,1,1,0,0,normal
3,479999824,44372,1722344744,29.953945,968.446411,26.390594,10136.205078,5,1,1,0,0,normal
0,480007249,44376,1722344744,29.768652,968.210144,27.656704,19674.146484,5,1,1,0,0,normal
4,479999071,44381,1722344744,30.020275,968.285706,26.597628,12146.517578,5,1,1,0,0,normal
5,480020830,44385,1722344744,29.915318,968.802856,27.233475,7123.775391,5,1,1,0,0,normal
6,480008288,44390,1722344744,29.722137,969.000061,27.259415,5684.846191,5,1,1,0,0,normal
